
0.001	-0.099	600111
0.001	-0.098	600085
0.001	-0.097	600043
0.001	-0.096	600007
0.001	-0.095	599983
0.001	-0.094	599992
0.001	-0.093	600021
0.001	-0.092	600056
0.001	-0.091	600074
0.001	-0.09	600079
0.001	-0.089	600073
0.001	-0.088	600062
0.001	-0.087	600047
0.001	-0.086	600036
0.001	-0.085	600043
0.001	-0.084	600058
0.001	-0.083	600066
0.001	-0.082	600046
0.001	-0.081	599997
0.001	-0.08	599936
0.001	-0.079	599883
0.001	-0.078	599832
0.001	-0.077	599777
0.001	-0.076	599697
0.001	-0.075	599601
0.001	-0.074	599515
0.001	-0.073	599461
0.001	-0.072	599426
0.001	-0.071	599386
0.001	-0.07	599355
0.001	-0.069	599348
0.001	-0.068	599352
0.001	-0.067	599311
0.001	-0.066	599215
0.001	-0.065	599105
0.001	-0.064	599014
0.001	-0.063	598926
0.001	-0.062	598821
0.001	-0.061	598711
0.001	-0.06	598623
0.001	-0.059	598575
0.001	-0.058	598554
0.001	-0.057	598546
0.001	-0.056	598541
0.001	-0.055	598531
0.001	-0.054	598499
0.001	-0.053	598441
0.001	-0.052	598374
0.001	-0.051	598317
0.001	-0.05	598258
0.001	-0.049	598184
0.001	-0.048	598087
0.001	-0.047	597977
0.001	-0.046	597875
0.001	-0.045	597790
0.001	-0.044	597717
0.001	-0.043	597638
0.001	-0.042	597546
0.001	-0.041	597452
0.001	-0.04	597365
0.001	-0.039	597288
0.001	-0.038	597210
0.001	-0.037	597110
0.001	-0.036	596968
0.001	-0.035	596785
0.001	-0.034	596585
0.001	-0.033	596381
0.001	-0.032	596169
0.001	-0.031	595924
0.001	-0.03	595588
0.001	-0.029	595221
0.001	-0.028	594964
0.001	-0.027	594772
0.001	-0.026	594597
0.001	-0.025	594423
0.001	-0.024	594239
0.001	-0.023	594014
0.001	-0.022	593749
0.001	-0.021	593464
0.001	-0.02	593184
0.001	-0.019	592931
0.001	-0.018	592705
0.001	-0.017	592491
0.001	-0.016	592288
0.001	-0.015	592123
0.001	-0.014	592048
0.001	-0.013	592087
0.001	-0.012	592246
0.001	-0.011	592485
0.001	-0.01	592726
0.001	-0.009	592917
0.001	-0.008	593053
0.001	-0.007	593143
0.001	-0.006	593213
0.001	-0.005	593279
0.001	-0.004	593302
0.001	-0.003	593264
0.001	-0.002	593180
0.001	-0.001	593064
0.001	0	593064
0.001	0.001	593064
0.001	0.002	593180
0.001	0.003	593264
0.001	0.004	593302
